date:number,ugeo:text,D19:number,D22:number,D23:number,D15:number,D59:number,D16:number,D14:number,D97:number,index:number
1994,Latvia,3.62728567,1198.349,229.033444444,0.693261922014,36.0898888889,0.109240577493,0.802502499508,4.4396744186,181.0
1994,Lithuania,6.3070887,2042.668,419.815777778,1.29625340393,20.9991111111,0.0648383664888,1.36109177042,9.99720930233,136.0
1994,Finland,23.47205949,6077.842,3666.532,14.1598049482,594.456,2.29573368248,16.4555386307,65.6189418605,251.0
1994,European Union - 27 countries (from 2020),1126.92111099,275869.467,231753.285889,946.707416553,36785.823,150.269331995,1096.97674855,2339.37394186,469.0
1994,Bulgaria,25.95543048,6572.42,5158.05333333,20.3698933887,758.412333333,2.99507922394,23.3649726126,38.1261395349,613.0
1994,Sweden,9.89611027,2565.498,726.068,2.80072289728,218.077,0.841206673851,3.64192957113,143.026918605,25.0
1994,Turkey,None,10060.178,10060.178,None,1546.111,None,None,78.3069069767,None
1994,Cyprus,2.266254,703.616,703.616,2.266254,0.0,0.0,2.266254,2.68451162791,844.0
1994,European Union - 28 countries (2013-2020),1294.00619103,322322.599,278206.417889,1116.89601737,40108.083,161.019140058,1277.91515743,2665.80218605,479.0
1994,Malta,1.81588573,531.814,531.814,1.81588573,0.0,0.0,1.81588573,1.54072093023,1179.0
1994,Greece,43.69326822,8858.792,8858.792,43.69326822,206.569,1.01883809022,44.7121063102,40.6166860465,1101.0
1994,Estonia,15.67403814,3223.55,2061.45888889,10.0235408939,63.7641111111,0.310043619463,10.3335845133,9.15034883721,1129.0
1994,France,35.80820429,3718.076,3718.076,35.80820429,3864.79644444,37.2212457793,73.0294500693,476.781488372,153.0
1994,Hungary,19.48804326,5611.202,4605.97977778,15.9968458031,221.05,0.767719993439,16.7645657965,33.5089651163,500.0
1994,Slovakia,8.6752317,3326.282,2515.00311111,6.55934605518,266.509333333,0.695079436103,7.25442549128,25.7075348837,282.0
1994,Belgium,24.46625314,6106.065,5853.23388889,23.4531899043,736.145,2.94964267785,26.4028325822,72.166,366.0
1994,Iceland,0.01722066,1.552,0.623111111111,0.0069139075945,0.0,0.0,0.0069139075945,4.77913953488,1.0
1994,Norway,None,96.182,19.062,None,18.7233333333,None,None,113.215616279,None
